Latitude,Longitude
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
46.0,72.725891
33.774246,72.725891
33.774242,72.725852
33.774242,72.725852
33.774246,72.725852
33.774246,72.725852
33.774242,72.725852
33.774242,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.774246,72.725852
33.77425,72.725845
33.77425,72.725845
33.77425,72.725845
33.774253,72.725845
33.774253,72.725845
33.774253,72.725845
33.774253,72.725845
33.774253,72.725845
33.77425,72.725845
33.77425,72.725852
33.774246,72.725852
33.774246,72.725852
33.77425,72.725845
33.77425,72.725845
33.77425,72.725852
33.774253,72.725852
33.774253,72.725852
33.774253,72.725852
33.774253,72.725852
33.774253,72.725852
33.774253,72.72586
33.774257,72.72586
33.774257,72.72586
33.774261,72.72586
33.774261,72.72586
33.774265,72.72586
33.774261,72.72586
33.774261,72.72586
33.774261,72.72586
33.774265,72.72586
33.774269,72.725868
33.774269,72.725868
33.774272,72.725868
33.774272,72.725868
33.774272,72.725875
33.774272,72.725875
33.774276,72.72586
33.774276,72.72586
33.774276,72.72586
33.774272,72.72586
33.774272,72.72586
33.774272,72.725852
33.774272,72.725852
33.774272,72.725852
33.774272,72.725845
33.774272,72.725845
33.774272,72.725837
33.774272,72.725837
33.774272,72.725837
33.774272,72.725837
33.774265,72.725837
33.774265,72.725837
33.774265,72.725837
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725845
33.774265,72.725837
33.774265,72.725837
33.774265,72.725837
33.774265,72.725837
33.774265,72.725837
33.774265,72.725837
33.774265,72.72583
33.774265,72.72583
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774246,72.725891
33.774234,72.725944
33.774215,72.725936
33.774215,72.725929
33.774208,72.725936
33.774204,72.725944
33.7742,72.725944
33.774196,72.725952
33.774192,72.725952
33.774192,72.725959
33.774188,72.725959
33.774188,72.725952
33.774185,72.725959
33.774181,72.725959
33.774177,72.725959
33.774177,72.725959
33.774181,72.725952
33.774185,72.725959
33.774181,72.725929
33.774196,72.725936
33.774177,72.725929
33.774169,72.725929
33.774173,72.725914
33.774166,72.725898
33.774169,72.725891
33.774169,72.725891
33.774169,72.725891
33.774166,72.725891
33.774166,72.725883
33.774169,72.725875
33.774169,72.72586
33.774166,72.725852
33.774169,72.72583
33.774169,72.72583
33.774162,72.725807
33.774166,72.725799
33.774173,72.725776
33.774177,72.725769
33.774173,72.725761
33.774173,72.725753
33.774173,72.725753
33.774173,72.725746
33.774173,72.725746
33.774173,72.725746
33.774173,72.725738
33.774173,72.725738
33.774177,72.725738
33.774177,72.72573
33.774181,72.725723
33.774181,72.725723
33.774185,72.725715
33.774185,72.725715
33.774188,72.725715
33.774188,72.725715
33.774196,72.725708
33.774196,72.725708
33.774192,72.725708
33.774192,72.725708
33.774192,72.7257
33.774192,72.7257
33.774192,72.7257
33.774196,72.7257
33.7742,72.7257
33.7742,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774208,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774204,72.7257
33.774215,72.725685
33.774227,72.725662
33.774272,72.725601
33.774295,72.72557
33.774337,72.725509
33.77436,72.725479
33.774402,72.725418
33.774425,72.725395
33.774463,72.725341
33.774486,72.725311
33.774536,72.725257
33.774562,72.725227
33.7746,72.725158
33.774616,72.725135
33.77465,72.72509
33.774665,72.725074
33.7747,72.725059
33.774719,72.725074
33.774791,72.725135
33.774822,72.725173
33.774906,72.725242
33.774944,72.72528
33.775016,72.725357
33.775051,72.725402
33.775115,72.725486
33.77515,72.725524
33.775222,72.725608
33.775264,72.725646
33.775337,72.725715
33.775375,72.725753
33.77544,72.725822
33.77547,72.725852
33.77552,72.725898
33.77555,72.725906
33.775615,72.725914
33.77565,72.725921
33.775695,72.725952
33.775707,72.725959
33.775737,72.725997
33.77576,72.72602
33.775829,72.726089
33.775867,72.726127
33.775951,72.726211
33.775989,72.726249
33.776065,72.726333
33.776096,72.726364
33.776134,72.726402
33.776149,72.726425
33.776195,72.72647
33.776226,72.726509
33.776306,72.726593
